#####################################################################
# Alchemist log file - simulation started at: 2024-11-17T14:55+0000 #
#####################################################################
#
# seed = 3.0, globalRound = 6, randomAugmentedSeed = 10006
#
# The columns have the following meaning: 
# time reward[min] reward[max] reward[mean] reward[variance] batteryCapacity[min] batteryCapacity[max] batteryCapacity[mean] batteryCapacity[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] batteryPercentage[min] batteryPercentage[max] batteryPercentage[mean] batteryPercentage[variance] totalCost[min] totalCost[max] totalCost[mean] totalCost[variance] 
17.003479902585184 -1.35 0.00 -1.20 0.152 4085.4054054054004 4192.8378378378375 4124.425675675672 635.1642758342527 0.0 1.0 0.13541666666666669 0.06105939716312058 97.27155727155716 99.82947232947232 98.20061132561125 0.3600704511532048 2.833333333333334 25.277777777777775 11.37222222222222 134.25679012345677
18.003479902585184 -4.00 0.00 -2.65 2.50 4078.2432432432383 4192.8378378378375 4118.6993243243205 738.2043306964837 0.0 1.0 0.8854166666666667 0.08765514184397162 97.10102960102948 99.82947232947232 98.06426962676954 0.4184831806669408 2.9166666666666665 27.77777777777777 12.52222222222222 170.49436728395057
19.003479902585184 -4.00 0.00 -2.65 2.50 4071.0810810810763 4192.8378378378375 4112.412725225222 854.9212731636866 0.0 1.0 0.8854166666666667 0.08765514184397162 96.9305019305018 99.82947232947232 97.9145886958386 0.4846492478252184 2.9166666666666665 27.77777777777777 12.733333333333333 175.11520061728388
20.003479902585184 -4.00 0.00 -2.65 2.50 4063.918918918914 4192.8378378378375 4106.1261261261225 981.3424407732263 0.0 1.0 0.8854166666666667 0.08765514184397162 96.75997425997414 99.82947232947232 97.76490776490768 0.5563165764020567 2.9166666666666665 27.77777777777777 12.944444444444443 179.98495370370364
21.003479902585184 -4.00 0.00 -2.65 2.50 4056.756756756752 4192.8378378378375 4099.839527027023 1117.4678335250987 0.0 1.0 0.8854166666666667 0.08765514184397162 96.58944658944648 99.82947232947232 97.61522683397675 0.6334851663974482 2.9166666666666665 28.33333333333333 13.155555555555553 185.1036265432098
22.003479902585184 -4.00 0.00 -2.65 2.50 4049.59459459459 4192.8378378378375 4093.5529279279244 1263.2974514193074 0.0 1.0 0.8854166666666667 0.08765514184397162 96.4189189189188 99.82947232947232 97.46554590304582 0.7161550178113976 2.9166666666666665 29.16666666666666 13.366666666666664 190.4712191358024
23.003479902585184 -1.35 0.00 -1.19 0.155 4042.432432432428 4192.8378378378375 4087.229729729726 1419.5242683742777 0.0 1.0 0.875 0.11170212765957446 96.24839124839114 99.82947232947232 97.31499356499347 0.8047189730012942 2.9166666666666665 29.999999999999993 13.577777777777776 196.08078703703694
24.003479902585184 -1.35 0.00 -1.19 0.155 4035.270270270266 4192.8378378378375 4080.9628378378343 1594.8561809366427 0.0 1.0 0.875 0.11170212765957446 96.07786357786348 99.82947232947232 97.16578185328176 0.9041134812566036 2.9166666666666665 30.833333333333325 13.79444444444444 201.79537037037022
25.003479902585184 -1.35 0.00 -1.19 0.155 4028.108108108104 4192.8378378378375 4074.6959459459426 1781.6479648136813 0.0 1.0 0.875 0.11170212765957446 95.9073359073358 99.82947232947232 97.01657014157006 1.0100045152005013 2.9166666666666665 31.666666666666657 14.011111111111108 207.7556327160493
26.003479902585184 -1.35 0.00 -1.19 0.155 4020.9459459459417 4192.8378378378375 4068.4290540540505 1979.899620005392 0.0 1.0 0.875 0.11170212765957446 95.73680823680813 99.82947232947232 96.86735842985834 1.1223920748329905 2.9166666666666665 32.49999999999999 14.227777777777774 213.961574074074
