#####################################################################
# Alchemist log file - simulation started at: 2024-10-25T10:45+0000 #
#####################################################################
#
# seed = 4.0, neighborThreshold = 20, neighborSteps = 2
#
# The columns have the following meaning: 
# time batteryPercentage[min] batteryPercentage[max] batteryPercentage[mean] batteryPercentage[variance] batteryCapacity[min] batteryCapacity[max] batteryCapacity[mean] batteryCapacity[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] ComponentsExecutionCount[min] ComponentsExecutionCount[max] ComponentsExecutionCount[mean] ComponentsExecutionCount[variance] 
115.00481936745558 80.49446177033319 99.95182086483877 97.91625248616099 36.023970630253274 3380.767394353994 4197.976476323228 4112.482604418761 63546.284191766754 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
116.00481936745558 80.32309212587288 99.95108748739628 97.89791845071994 36.65769000220417 3373.569869286661 4197.945674470644 4111.712574930238 64664.16516388816 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
117.00481936745558 80.15244099385716 99.95046142166142 97.87970078541511 37.29723281099446 3366.4025217420003 4197.91937970978 4110.947432987435 65792.31867859424 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
118.00481936745558 79.98162060190556 99.95002728005156 97.86140748737928 37.94207665348732 3359.228065280033 4197.9011457621655 4110.17911446993 66929.82321675165 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
119.00481936745558 79.8107444675524 99.94914107582684 97.8430148115458 38.594067974791365 3352.0512676372005 4197.863925184727 4109.406622084924 68079.93590753197 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
120.00481936745558 79.63948585933394 99.94897990406257 97.824773828443 39.25175220634438 3344.8584060920257 4197.857155970628 4108.640500794606 69240.09089199148 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
121.00481936745558 79.4686708067489 99.94886448363755 97.80654203951843 39.91463533165787 3337.684173883454 4197.8523083127775 4107.874765659774 70409.41672504446 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
122.00481936745558 79.29800590090473 99.9483038603083 97.78821720566134 40.58141316569466 3330.516247837999 4197.828762132949 4107.105122637776 71585.61282428536 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
123.00481936745558 79.12674764594921 99.94795897859144 97.76997869042835 41.25525483668856 3323.323401129867 4197.814277100841 4106.339104997991 72774.26953191865 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
124.00481936745558 78.95523285372157 99.94620536733692 97.75168025920362 41.933914080513944 3316.1197798563057 4197.74062542815 4105.570570886553 73971.42443802659 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
125.00481936745558 78.78450448830515 99.94566256289755 97.73339271506616 42.61782586228947 3308.949188508816 4197.717827641697 4104.802494032779 75177.84482107863 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
126.00481936745558 78.61285861161275 99.9443907139128 97.71500890663843 43.30854874747473 3301.7400616877358 4197.664409984337 4104.030374078814 76396.27999054546 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
127.00481936745558 78.44142429049809 99.9442368095812 97.69676282399816 44.00352233329202 3294.53982020092 4197.65794600241 4103.264038607923 77622.21339592706 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
