#####################################################################
# Alchemist log file - simulation started at: 2024-10-25T14:59+0000 #
#####################################################################
#
# seed = 1.0, globalRound = 11
#
# The columns have the following meaning: 
# time reward[min] reward[max] reward[mean] reward[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] 
29.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
30.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
31.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
32.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
33.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.5 0.145 0.05199494949494945
34.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.5 0.145 0.05199494949494945
35.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.5 0.145 0.05199494949494945
36.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.5 0.145 0.05199494949494945
37.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.5 0.145 0.05199494949494945
38.00488558979576 -0.278 -0.111 -0.209 0.00362 0.0 0.0 0.0 0.0
39.00488558979576 -0.278 -0.111 -0.209 0.00362 0.0 0.0 0.0 0.0
40.00488558979576 -0.278 -0.111 -0.209 0.00362 0.0 0.0 0.0 0.0
41.00488558979576 -0.278 -0.111 -0.209 0.00362 0.0 0.0 0.0 0.0
42.00488558979576 -0.278 -0.111 -0.209 0.00362 0.0 0.0 0.0 0.0
43.00488558979576 -0.278 -0.222 -0.256 0.000223 0.0 0.0 0.0 0.0
44.00488558979576 -0.278 -0.222 -0.256 0.000223 0.0 0.0 0.0 0.0
45.00488558979576 -0.278 -0.222 -0.256 0.000223 0.0 0.0 0.0 0.0
46.00488558979576 -0.278 -0.222 -0.256 0.000223 0.0 0.0 0.0 0.0
47.00488558979576 -0.278 -0.222 -0.256 0.000223 0.0 0.0 0.0 0.0
48.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
49.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
50.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
51.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
52.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
53.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
54.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
55.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
56.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
57.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
58.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
59.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
60.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
61.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
62.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
63.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
64.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
65.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
66.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
67.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
68.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
69.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
70.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
71.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
72.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
73.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
74.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
75.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
76.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
77.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
78.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
79.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
80.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
81.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
82.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
83.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.175 0.07260101010101
84.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.175 0.07260101010101
85.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.175 0.07260101010101
86.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.175 0.07260101010101
87.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.175 0.07260101010101
88.00488558979576 -0.278 -0.00 -0.203 0.00456 0.0 0.0 0.0 0.0
89.00488558979576 -0.278 -0.00 -0.203 0.00456 0.0 0.0 0.0 0.0
90.00488558979576 -0.278 -0.00 -0.203 0.00456 0.0 0.0 0.0 0.0
91.00488558979576 -0.278 -0.00 -0.203 0.00456 0.0 0.0 0.0 0.0
92.00488558979576 -0.278 -0.00 -0.203 0.00456 0.0 0.0 0.0 0.0
93.00488558979576 -0.278 -0.222 -0.255 0.000182 0.0 1.0 0.145 0.0570454545454545
94.00488558979576 -0.278 -0.222 -0.255 0.000182 0.0 1.0 0.145 0.0570454545454545
95.00488558979576 -0.278 -0.222 -0.255 0.000182 0.0 1.0 0.145 0.0570454545454545
96.00488558979576 -0.278 -0.222 -0.255 0.000182 0.0 1.0 0.145 0.0570454545454545
97.00488558979576 -0.278 -0.222 -0.255 0.000182 0.0 1.0 0.145 0.0570454545454545
98.00488558979576 -0.278 -0.00 -0.211 0.00380 0.0 0.0 0.0 0.0
99.00488558979576 -0.278 -0.00 -0.211 0.00380 0.0 0.0 0.0 0.0
100.00488558979576 -0.278 -0.00 -0.211 0.00380 0.0 0.0 0.0 0.0
101.00488558979576 -0.278 -0.00 -0.211 0.00380 0.0 0.0 0.0 0.0
102.00488558979576 -0.278 -0.00 -0.211 0.00380 0.0 0.0 0.0 0.0
103.00488558979576 -0.278 -0.222 -0.257 0.000189 0.0 0.0 0.0 0.0
104.00488558979576 -0.278 -0.222 -0.257 0.000189 0.0 0.0 0.0 0.0
105.00488558979576 -0.278 -0.222 -0.257 0.000189 0.0 0.0 0.0 0.0
106.00488558979576 -0.278 -0.222 -0.257 0.000189 0.0 0.0 0.0 0.0
107.00488558979576 -0.278 -0.222 -0.257 0.000189 0.0 0.0 0.0 0.0
108.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.205 0.08128787878787869
109.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.205 0.08128787878787869
110.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.205 0.08128787878787869
111.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.205 0.08128787878787869
112.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.205 0.08128787878787869
113.00488558979576 -0.278 -0.00 -0.196 0.00512 0.0 0.0 0.0 0.0
114.00488558979576 -0.278 -0.00 -0.196 0.00512 0.0 0.0 0.0 0.0
115.00488558979576 -0.278 -0.00 -0.196 0.00512 0.0 0.0 0.0 0.0
116.00488558979576 -0.278 -0.00 -0.196 0.00512 0.0 0.0 0.0 0.0
117.00488558979576 -0.278 -0.00 -0.196 0.00512 0.0 0.0 0.0 0.0
118.00488558979576 -0.278 -0.222 -0.255 0.000198 0.0 0.0 0.0 0.0
119.00488558979576 -0.278 -0.222 -0.255 0.000198 0.0 0.0 0.0 0.0
120.00488558979576 -0.278 -0.222 -0.255 0.000198 0.0 0.0 0.0 0.0
121.00488558979576 -0.278 -0.222 -0.255 0.000198 0.0 0.0 0.0 0.0
122.00488558979576 -0.278 -0.222 -0.255 0.000198 0.0 0.0 0.0 0.0
123.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
124.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
125.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
126.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
127.00488558979576 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
128.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
129.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
130.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
131.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
132.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
133.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
134.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
135.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
136.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
137.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
138.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
139.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
140.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
141.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
142.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
143.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
144.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
145.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
146.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
147.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
148.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
149.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
150.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
151.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
152.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
153.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
154.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
155.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
156.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
157.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
158.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17499999999999996 0.06755050505050493
159.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17499999999999996 0.06755050505050493
160.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17499999999999996 0.06755050505050493
161.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17499999999999996 0.06755050505050493
162.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17499999999999996 0.06755050505050493
163.00488558979578 -0.278 -0.00 -0.202 0.00441 0.0 0.0 0.0 0.0
164.00488558979578 -0.278 -0.00 -0.202 0.00441 0.0 0.0 0.0 0.0
165.00488558979578 -0.278 -0.00 -0.202 0.00441 0.0 0.0 0.0 0.0
166.00488558979578 -0.278 -0.00 -0.202 0.00441 0.0 0.0 0.0 0.0
167.00488558979578 -0.278 -0.00 -0.202 0.00441 0.0 0.0 0.0 0.0
168.00488558979578 -0.278 -0.222 -0.254 0.000162 0.0 0.0 0.0 0.0
169.00488558979578 -0.278 -0.222 -0.254 0.000162 0.0 0.0 0.0 0.0
170.00488558979578 -0.278 -0.222 -0.254 0.000162 0.0 0.0 0.0 0.0
171.00488558979578 -0.278 -0.222 -0.254 0.000162 0.0 0.0 0.0 0.0
172.00488558979578 -0.278 -0.222 -0.254 0.000162 0.0 0.0 0.0 0.0
173.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
174.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
175.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
176.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
177.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
178.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
179.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
180.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
181.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
182.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
183.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
184.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
185.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
186.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
187.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
188.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
189.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
190.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
191.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
192.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
193.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
194.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
195.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
196.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
197.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
198.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
199.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
200.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
201.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
202.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
203.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
204.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
205.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
206.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
207.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
208.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
209.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
210.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
211.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
212.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
213.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
214.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
215.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
216.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
217.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
218.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
219.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
220.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
221.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
222.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
223.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
224.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
225.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
226.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
227.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
228.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.16499999999999998 0.060883838383838346
229.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.16499999999999998 0.060883838383838346
230.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.16499999999999998 0.060883838383838346
231.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.16499999999999998 0.060883838383838346
232.00488558979578 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.16499999999999998 0.060883838383838346
233.00488558979578 -0.278 -0.00 -0.201 0.00379 0.0 1.0 0.19000000000000003 0.07969696969696971
